Метод,Что делает
"s.find('x',[start], [end])","Поиск подстроки в строке. Если не найдена, возвращает -1"
s.format(),"Форматирование строки, например: '{}a'.format(1) вернет '1a'"
s.join(строка или список со строковыми элементами),"Собирает строку из списка, разделяя элементы разделителем s и разбирает строку посимвольно, разделяя разделителем s"
"s.replace(x, y)",Заменяет все вхождения x на y
s.split(x),Разбиение строки в список по разделителю х
s.strip(),"Удаление пробелов в начале и конце строки, если аргумент = None и удаление символов х из начала и конца строки, если аргумент = ‘x’"
