Метод,Что делает
x in s,Содержится ли x в s
x.isdisjoint(y),Есть ли общие элементы у x и y
x.issubset(y) или x <= y,Является ли x подмножеством y
x.issuperset(y) или x ≥ y,Является ли х надмножеством у
"x.union(y, ...) или x | y | ...",Объединение нескольких множеств
"x.intersection(y, ...) или x & y & ...",Пересечение
"x.difference(y, ...) или x - y - ...","Множество всех элементов х, не принадлежащих остальным множествам"
"x.symmetricdifference(y, ...) или x ^ y ^ ...","Множество из элементов, встречающихся в каком-либо из множеств, но не встречающиеся в обоих"
x.copy(),Поверхностная копия множества
