Метод,Что делает
"x.update(y, ...) или set |= other | ...",Объединение
"set.intersection_update(other, ...); set &= other & ...",Пересечение
"set.difference_update(other, ...); set -= other | ...",Вычитание
x.add(a),Добавляет элемент в множество
x.remove(a),Удаляет элемент из множества. KeyError если элемента не существует
x.discard(a),"Удаляет элемент, если он есть в множестве"
x.pop(),"Удаляет первый элемент из множества, но так как множества не упорядочены == рандомный"
x.clear(),Очистка множества
